MODEL,MAKE,Model Year,Overall Length,Overall Width,Overall Height,Wheelbase,Curb Weight,Front End Length,Rear End Length,Side Glass Height,Body Side Height,Roof Width,Front Overhang,Rear Overhang,Track Width Front,Track Width Rear,Front Weight %,Rear Weight %
CROSSTREK4DRSUVTOURING,SUBARU,20,447.0,180.0,162.0,267.0,1467.0,123.0,144.0,33.0,85.0,104.0,97.0,84.0,155.0,156.0,60.0,46.0
CROWNVICTORIAPOLICEINTERCEPTOR,FORD,3,538.0,199.0,144.0,290.0,1900.0,162.0,99.0,42.0,75.0,116.0,108.0,139.0,160.0,164.0,56.0,44.0
CRUZE4DRSEDAN,CHEVROLET,16,467.0,180.0,146.0,270.0,1250.0,117.0,51.0,35.0,82.0,109.0,98.0,99.0,156.0,155.0,61.0,39.0
CRUZE4DRSEDANDIESEL,CHEVROLET,10,461.0,180.0,148.0,268.0,1576.0,129.0,53.0,33.0,80.0,110.0,97.0,96.0,154.0,156.0,61.0,39.0
CRUZE4DRSEDANLSLTLTZECO,CHEVROLET,10,461.0,180.0,148.0,268.0,1407.0,129.0,53.0,33.0,80.0,110.0,97.0,96.0,154.0,156.0,61.0,39.0
CRUZE4DRSEDANNEWGENERATION,CHEVROLET,16,467.0,180.0,146.0,270.0,1250.0,117.0,51.0,35.0,82.0,109.0,98.0,99.0,156.0,155.0,61.0,39.0
CRUZE5DRHATCH,CHEVROLET,17,445.0,179.0,147.0,270.0,1312.0,117.0,140.0,35.0,82.0,109.0,98.0,77.0,156.0,155.0,61.0,39.0
CRUZELIMITED4DRSEDANLSLTLTZECO,CHEVROLET,10,460.0,180.0,148.0,268.0,1399.0,128.0,53.0,33.0,80.0,110.0,96.0,96.0,154.0,156.0,61.0,39.0
CRV4DRSUVAWD,HONDA,17,459.0,185.0,168.0,266.0,1580.0,114.0,170.0,38.0,89.0,107.0,91.0,101.0,160.0,162.0,58.0,42.0
CRV4DRSUVAWDEXEXL,HONDA,7,452.0,182.0,168.0,262.0,1604.0,98.0,152.0,40.0,84.0,103.0,89.0,100.0,156.0,156.0,57.0,43.0
CRV4DRSUVAWDLXEXEXLTOURING,HONDA,12,453.0,182.0,164.0,262.0,1583.0,106.0,162.0,40.0,85.0,109.0,92.0,100.0,156.0,156.0,58.0,42.0
CRV4DRSUVAWDLXSEEXEXLTOURING,HONDA,15,456.0,182.0,165.0,262.0,1586.0,106.0,162.0,40.0,85.0,109.0,92.0,102.0,158.0,158.0,58.0,42.0
CRV4DRSUVFWD,HONDA,17,459.0,185.0,168.0,266.0,1502.0,114.0,170.0,38.0,89.0,107.0,91.0,101.0,160.0,162.0,58.0,42.0
CRV4DRSUVFWDLX,HONDA,15,456.0,182.0,168.0,262.0,1597.0,106.0,162.0,40.0,85.0,109.0,92.0,102.0,158.0,158.0,58.0,43.0
CRV4DRSUVFWDLXEX,HONDA,12,453.0,182.0,164.0,262.0,1526.0,106.0,162.0,40.0,85.0,109.0,92.0,100.0,156.0,156.0,58.0,42.0
CRZ2DRHATCHBACK,HONDA,11,408.0,174.0,139.0,244.0,1229.0,107.0,20.0,31.0,80.0,100.0,95.0,69.0,152.0,150.0,59.0,41.0
CSX4DRSEDANFWDTECHPACKAGE,ACURA,6,454.0,175.0,144.0,270.0,1300.0,94.0,45.0,36.0,76.0,110.0,92.0,93.0,150.0,151.0,61.0,39.0
CT200H4DRHATCHBACK,LEXUS,11,432.0,177.0,144.0,260.0,1840.0,114.0,137.0,35.0,81.0,101.0,91.0,81.0,151.0,153.0,59.0,41.0
CT200H4DRHATCHBACKFSPORT,LEXUS,14,435.0,177.0,146.0,260.0,1840.0,117.0,137.0,35.0,81.0,101.0,94.0,81.0,152.0,153.0,59.0,41.0
CT420L4DRSEDANAWD,CADILLAC,20,476.0,182.0,142.0,278.0,1623.0,145.0,59.0,31.0,84.0,108.0,87.0,112.0,153.0,157.0,54.0,46.0
CT427LVSERIES4DRSEDANAWD,CADILLAC,20,476.0,182.0,142.0,278.0,1693.0,145.0,59.0,31.0,84.0,108.0,87.0,112.0,153.0,157.0,52.0,48.0
CT54DRSEDANAWD,CADILLAC,20,492.0,188.0,145.0,295.0,1723.0,144.0,53.0,36.0,81.0,112.0,87.0,111.0,160.0,162.0,53.0,47.0
CT54DRSEDANRWD,CADILLAC,20,492.0,188.0,145.0,295.0,1660.0,144.0,53.0,36.0,81.0,112.0,87.0,111.0,160.0,162.0,51.0,49.0
CT620L4DRSEDAN,CADILLAC,16,518.0,188.0,147.0,310.0,1654.0,152.0,59.0,85.0,35.0,112.0,88.0,121.0,163.0,165.0,51.0,49.0
CT630LTWINTURBOAWD4DRSEDAN,CADILLAC,16,518.0,188.0,147.0,310.0,1889.0,152.0,59.0,85.0,35.0,112.0,88.0,121.0,163.0,165.0,54.0,46.0
CT630LTWINTURBOAWDPLATINUM4DRSEDAN,CADILLAC,16,518.0,188.0,147.0,310.0,1989.0,152.0,59.0,85.0,35.0,112.0,88.0,121.0,163.0,165.0,54.0,46.0
CT636LAWD4DRSEDAN,CADILLAC,16,518.0,188.0,147.0,310.0,1780.0,152.0,59.0,85.0,35.0,112.0,88.0,121.0,163.0,165.0,53.0,47.0
CT636LAWDPLATINUM4DRSEDAN,CADILLAC,16,518.0,188.0,147.0,310.0,1933.0,152.0,59.0,85.0,35.0,112.0,88.0,121.0,163.0,165.0,53.0,47.0
CT6LUXURYAWD4DRSEDAN,CADILLAC,19,523.0,188.0,147.0,311.0,1808.0,152.0,63.0,35.0,85.0,112.0,88.0,125.0,161.0,163.0,50.0,50.0
CT6PLATINUMAWD4DRSEDAN,CADILLAC,19,523.0,188.0,147.0,311.0,1913.0,152.0,63.0,35.0,85.0,112.0,88.0,125.0,161.0,163.0,50.0,50.0
CT6PREMIUMLUXURYAWD4DRSEDAN,CADILLAC,19,523.0,188.0,147.0,311.0,1873.0,152.0,63.0,35.0,85.0,112.0,88.0,125.0,161.0,163.0,50.0,50.0
CT6SPORTAWD4DRSEDAN,CADILLAC,19,523.0,188.0,147.0,311.0,2008.0,152.0,63.0,35.0,85.0,112.0,88.0,125.0,161.0,163.0,50.0,50.0
CT6VSERIESAWD4DRSEDAN,CADILLAC,19,523.0,188.0,147.0,311.0,2036.0,152.0,63.0,35.0,85.0,112.0,88.0,125.0,161.0,163.0,50.0,50.0
CTS20LAWDSEDAN,CADILLAC,14,497.0,183.0,145.0,291.0,1725.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,52.0,48.0
CTS20LRWDSEDAN,CADILLAC,14,497.0,183.0,145.0,291.0,1655.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,52.0,48.0
CTS2DRCOUPEAWD364,CADILLAC,11,479.0,188.0,142.0,288.0,1874.0,141.0,60.0,30.0,86.0,110.0,87.0,104.0,158.0,160.0,54.0,46.0
CTS2DRCOUPERWD36,CADILLAC,11,479.0,188.0,142.0,288.0,1773.0,141.0,60.0,30.0,86.0,110.0,87.0,104.0,158.0,160.0,53.0,47.0
CTS2DRCOUPESPORTPERFORMANCEAWD,CADILLAC,11,479.0,188.0,142.0,288.0,1858.0,141.0,60.0,30.0,86.0,110.0,87.0,104.0,158.0,160.0,54.0,46.0
CTS2DRCOUPESPORTPERFORMANCERWD,CADILLAC,11,479.0,188.0,142.0,288.0,1773.0,141.0,60.0,30.0,86.0,110.0,87.0,104.0,158.0,160.0,53.0,47.0
CTS36LAWDSEDAN,CADILLAC,14,497.0,183.0,145.0,291.0,1795.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,52.0,48.0
CTS36LRWDSEDAN,CADILLAC,14,497.0,183.0,145.0,291.0,1735.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,52.0,48.0
CTS4DRSEDAN20LAWD,CADILLAC,14,497.0,183.0,145.0,291.0,1713.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,50.0,50.0
CTS4DRSEDAN20LRWD,CADILLAC,14,497.0,183.0,145.0,291.0,1642.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,50.0,50.0
CTS4DRSEDAN36LAWD,CADILLAC,14,497.0,183.0,145.0,291.0,1763.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,50.0,50.0
CTS4DRSEDAN36LRWD,CADILLAC,14,497.0,183.0,145.0,291.0,1703.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,50.0,50.0
CTS4DRSEDANAWD304364,CADILLAC,8,487.0,184.0,147.0,288.0,1868.0,129.0,54.0,33.0,82.0,109.0,86.0,113.0,155.0,158.0,51.0,49.0
CTS4DRSEDANRWD3036,CADILLAC,8,487.0,184.0,147.0,288.0,1751.0,129.0,54.0,33.0,82.0,109.0,86.0,113.0,155.0,158.0,52.0,48.0
CTS4DRSPORTWAGONAWD304364,CADILLAC,10,486.0,184.0,150.0,288.0,1915.0,141.0,168.0,30.0,84.0,111.0,86.0,112.0,157.0,157.0,51.0,49.0
CTS4DRSPORTWAGONRWD3036,CADILLAC,10,486.0,184.0,150.0,288.0,1828.0,141.0,168.0,30.0,84.0,111.0,86.0,112.0,157.0,157.0,52.0,48.0
CTSV2DRCOUPERWD,CADILLAC,11,479.0,188.0,142.0,288.0,1930.0,141.0,60.0,30.0,86.0,110.0,87.0,104.0,157.0,160.0,54.0,46.0
CTSV4DRSEDANRWD,CADILLAC,16,502.0,184.0,147.0,291.0,1905.0,150.0,61.0,34.0,85.0,109.0,92.0,119.0,158.0,158.0,53.0,48.0
CTSV4DRSPORTWAGONRWD,CADILLAC,10,486.0,184.0,150.0,288.0,2007.0,141.0,168.0,30.0,84.0,111.0,86.0,112.0,157.0,157.0,54.0,46.0
CTSVSPORT4DRSEDANRWD,CADILLAC,14,497.0,183.0,145.0,291.0,1807.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,50.0,50.0
CTSVSPORTRWDSEDAN,CADILLAC,14,497.0,183.0,145.0,291.0,1825.0,145.0,61.0,34.0,85.0,108.0,87.0,119.0,156.0,157.0,52.0,48.0
CUBE5DRHATCH18S18SL,NISSAN,9,398.0,170.0,165.0,253.0,1286.0,90.0,137.0,43.0,86.0,135.0,79.0,66.0,148.0,148.0,51.0,49.0
CUBE5DRHATCHSSL,NISSAN,9,398.0,170.0,165.0,254.0,1268.0,90.0,137.0,43.0,86.0,135.0,79.0,66.0,148.0,148.0,51.0,49.0
CX304DRSUVAWD,MAZDA,20,439.0,180.0,157.0,265.0,1516.0,132.0,133.0,30.0,87.0,112.0,92.0,84.0,157.0,155.0,60.0,40.0
