loss_history,weight_history
0.0333088,"[-0.14973465 -0.17019185 -0.02980158 ... -0.15853192 -0.07885966
  0.02097168]"
0.033305377,"[-0.14975117 -0.17018877 -0.02980365 ... -0.15854634 -0.07886829
  0.02097188]"
0.0333027,"[-0.14976254 -0.17018716 -0.02980496 ... -0.15856072 -0.07887684
  0.02097206]"
0.033299606,"[-0.1497687  -0.17018597 -0.029808   ... -0.15857503 -0.07888524
  0.02097225]"
0.03329602,"[-0.14977458 -0.1701855  -0.02981051 ... -0.15858923 -0.07889348
  0.02097251]"
0.033292916,"[-0.14978138 -0.1701864  -0.02981305 ... -0.15860334 -0.07890156
  0.0209729 ]"
0.03328986,"[-0.14979339 -0.17018916 -0.02981514 ... -0.15861745 -0.07890962
  0.02097339]"
0.03328673,"[-0.1498103  -0.17019244 -0.02981556 ... -0.15863167 -0.07891778
  0.0209739 ]"
0.03328347,"[-0.14983006 -0.17019437 -0.02981306 ... -0.15864602 -0.07892608
  0.02097435]"
0.033280276,"[-0.14984806 -0.17019626 -0.02981137 ... -0.15866044 -0.07893445
  0.02097469]"
0.033277247,"[-0.14985982 -0.17019926 -0.02981221 ... -0.15867493 -0.07894281
  0.02097495]"
0.03327419,"[-0.14987083 -0.1702028  -0.0298148  ... -0.15868947 -0.07895111
  0.02097526]"
0.03327096,"[-0.14988142 -0.17020701 -0.02981789 ... -0.15870404 -0.07895931
  0.02097574]"
0.033267785,"[-0.14988989 -0.17021121 -0.02981834 ... -0.15871865 -0.07896741
  0.02097646]"
0.03326464,"[-0.14989261 -0.17021528 -0.02981859 ... -0.15873334 -0.07897551
  0.02097729]"
0.033261396,"[-0.14988916 -0.1702186  -0.02981978 ... -0.15874818 -0.07898366
  0.02097808]"
0.033258535,"[-0.14988802 -0.17022112 -0.02982045 ... -0.15876316 -0.07899185
  0.02097877]"
0.03325551,"[-0.14989124 -0.17022443 -0.02982124 ... -0.15877827 -0.07900007
  0.0209794 ]"
0.033252522,"[-0.14989528 -0.17022832 -0.02982299 ... -0.15879361 -0.07900837
  0.02097998]"
0.03324963,"[-0.1499076  -0.1702321  -0.02982519 ... -0.15880927 -0.07901686
  0.02098052]"
0.03324683,"[-0.14991558 -0.1702344  -0.0298262  ... -0.15882523 -0.07902554
  0.02098103]"
0.033244174,"[-0.14992703 -0.17023838 -0.02982719 ... -0.1588414  -0.07903435
  0.02098149]"
0.033241745,"[-0.14993112 -0.17024525 -0.02982958 ... -0.15885766 -0.07904321
  0.02098193]"
0.03323933,"[-0.14993314 -0.17025553 -0.0298333  ... -0.15887392 -0.07905204
  0.0209824 ]"
0.033236843,"[-0.1499366  -0.17026475 -0.02983671 ... -0.15889017 -0.0790608
  0.02098298]"
0.033234123,"[-0.14994653 -0.1702742  -0.02983955 ... -0.15890642 -0.07906944
  0.02098365]"
0.03323166,"[-0.14995128 -0.1702826  -0.02984449 ... -0.15892272 -0.079078
  0.02098428]"
0.033228885,"[-0.14995989 -0.17029029 -0.02984889 ... -0.15893923 -0.07908657
  0.02098478]"
0.033226375,"[-0.14997056 -0.17029968 -0.02985269 ... -0.15895599 -0.0790952
  0.02098516]"
0.033223774,"[-0.14997703 -0.17030965 -0.02985682 ... -0.1589729  -0.07910387
  0.02098557]"
0.03322165,"[-0.14997143 -0.17031969 -0.02985909 ... -0.15898983 -0.07911257
  0.02098608]"
0.033218853,"[-0.1499655  -0.17032838 -0.02986203 ... -0.1590067  -0.07912128
  0.02098662]"
0.033216447,"[-0.14996773 -0.1703354  -0.02986464 ... -0.15902345 -0.07912999
  0.02098715]"
0.03321408,"[-0.14997733 -0.17034097 -0.02986691 ... -0.15904011 -0.07913864
  0.02098766]"
0.03321207,"[-0.14998202 -0.17034705 -0.02987023 ... -0.15905675 -0.07914726
  0.02098818]"
0.03320914,"[-0.14998144 -0.17035261 -0.02987168 ... -0.1590735  -0.07915593
  0.02098867]"
0.03320633,"[-0.14998297 -0.1703578  -0.0298745  ... -0.15909033 -0.07916467
  0.0209891 ]"
0.033203814,"[-0.14998467 -0.17036112 -0.02987903 ... -0.1591071  -0.07917343
  0.0209895 ]"
0.03320108,"[-0.14999323 -0.17036203 -0.02988285 ... -0.15912364 -0.07918207
  0.02098999]"
0.033198502,"[-0.14999501 -0.17036273 -0.02988629 ... -0.15913986 -0.07919051
  0.02099059]"
0.033196185,"[-0.15000041 -0.17036527 -0.0298889  ... -0.15915588 -0.07919889
  0.02099124]"
0.033193894,"[-0.15000889 -0.17036977 -0.02989161 ... -0.15917195 -0.07920733
  0.02099182]"
0.03319176,"[-0.15001746 -0.1703735  -0.02989479 ... -0.15918824 -0.07921585
  0.02099227]"
0.033190206,"[-0.15001856 -0.1703782  -0.02990028 ... -0.15920472 -0.07922436
  0.02099264]"
0.03318797,"[-0.15000895 -0.17038395 -0.02990357 ... -0.15922125 -0.07923273
  0.02099307]"
0.033185873,"[-0.15000284 -0.17038994 -0.02990646 ... -0.15923771 -0.07924097
  0.02099359]"
0.033183895,"[-0.15000117 -0.17039607 -0.02991029 ... -0.15925413 -0.07924916
  0.02099415]"
0.033181623,"[-0.15000449 -0.17040211 -0.02991311 ... -0.15927051 -0.07925738
  0.02099469]"
0.033179317,"[-0.15001293 -0.17041002 -0.02991552 ... -0.159287   -0.07926576
  0.02099515]"
0.033177648,"[-0.15001895 -0.17041734 -0.02991962 ... -0.15930383 -0.07927437
  0.02099547]"
0.033175424,"[-0.15002182 -0.17042224 -0.0299247  ... -0.15932108 -0.07928318
  0.02099573]"
0.03317311,"[-0.15002653 -0.17042471 -0.02993065 ... -0.15933862 -0.07929201
  0.02099606]"
0.03317122,"[-0.15003276 -0.17042637 -0.02993635 ... -0.15935604 -0.07930062
  0.02099662]"
0.03316919,"[-0.15004005 -0.17042898 -0.02994194 ... -0.15937315 -0.07930897
  0.02099735]"
0.03316693,"[-0.15005067 -0.17043169 -0.02994541 ... -0.15939008 -0.07931729
  0.02099805]"
0.033164833,"[-0.15005504 -0.1704356  -0.02994849 ... -0.15940715 -0.07932585
  0.02099852]"
0.033162784,"[-0.1500594  -0.17043981 -0.02994856 ... -0.15942453 -0.07933474
  0.02099876]"
0.03316028,"[-0.1500623  -0.1704442  -0.02994968 ... -0.159442   -0.0793437
  0.02099897]"
0.033158198,"[-0.15006599 -0.17044748 -0.02995151 ... -0.15945926 -0.07935245
  0.02099936]"
0.03315598,"[-0.15006511 -0.17044799 -0.02995204 ... -0.15947637 -0.07936093
  0.02100002]"
0.03315351,"[-0.1500624  -0.17044814 -0.02995226 ... -0.15949352 -0.07936936
  0.02100079]"
0.033150833,"[-0.15006106 -0.1704502  -0.02995267 ... -0.15951088 -0.07937789
  0.02100141]"
0.033148576,"[-0.15006506 -0.17045303 -0.02995366 ... -0.1595284  -0.07938654
  0.02100183]"
0.03314638,"[-0.15006378 -0.1704565  -0.02995658 ... -0.15954594 -0.0793952
  0.02100217]"
0.033143796,"[-0.15006372 -0.17046009 -0.0299582  ... -0.15956344 -0.0794038
  0.02100258]"
0.03314178,"[-0.1500662  -0.17046195 -0.02995828 ... -0.15958089 -0.07941235
  0.02100311]"
0.03313976,"[-0.15007521 -0.17046554 -0.02995699 ... -0.15959834 -0.07942093
  0.02100371]"
0.033137895,"[-0.1500792  -0.17046972 -0.02995603 ... -0.15961586 -0.07942966
  0.02100425]"
0.033136085,"[-0.15008585 -0.17047365 -0.02995547 ... -0.15963355 -0.07943857
  0.02100468]"
0.033134297,"[-0.15009479 -0.17047946 -0.02995706 ... -0.15965123 -0.07944748
  0.0210051 ]"
0.033132136,"[-0.15010226 -0.17048687 -0.02995875 ... -0.15966864 -0.07945615
  0.02100572]"
0.033130594,"[-0.15009998 -0.17049584 -0.02995877 ... -0.15968575 -0.07946467
  0.02100646]"
0.03312829,"[-0.15010524 -0.1705031  -0.02995867 ... -0.15970288 -0.07947336
  0.02100704]"
0.033126835,"[-0.15011588 -0.17050834 -0.02995904 ... -0.15972033 -0.0794825
  0.02100733]"
0.03312499,"[-0.15012649 -0.17051403 -0.02996093 ... -0.15973796 -0.07949194
  0.02100752]"
0.033122882,"[-0.15014094 -0.17051955 -0.02996228 ... -0.15975533 -0.0795013
  0.02100792]"
0.033120833,"[-0.1501564  -0.1705256  -0.02996246 ... -0.15977225 -0.07951029
  0.02100864]"
0.033119306,"[-0.15016472 -0.17053154 -0.02996328 ... -0.15978912 -0.07951913
  0.02100949]"
0.0331169,"[-0.15017158 -0.17053597 -0.02996636 ... -0.15980633 -0.07952816
  0.02101023]"
0.033115253,"[-0.15018345 -0.17054105 -0.02996944 ... -0.15982386 -0.07953747
  0.02101086]"
0.033113554,"[-0.15018985 -0.17054841 -0.0299716  ... -0.15984139 -0.07954689
  0.02101148]"
0.033111583,"[-0.15020025 -0.1705556  -0.02997366 ... -0.15985861 -0.07955625
  0.02101216]"
0.033109356,"[-0.150202   -0.1705654  -0.0299738  ... -0.1598757  -0.07956561
  0.02101285]"
0.033107743,"[-0.15019293 -0.17057224 -0.02997437 ... -0.15989317 -0.07957525
  0.02101334]"
0.033105753,"[-0.15018569 -0.17057872 -0.02997492 ... -0.15991102 -0.07958513
  0.02101368]"
0.033104185,"[-0.15018372 -0.17058776 -0.02997619 ... -0.1599288  -0.07959486
  0.02101407]"
0.03310264,"[-0.15018539 -0.170599   -0.02997793 ... -0.15994611 -0.07960419
  0.0210147 ]"
0.033100706,"[-0.1501955  -0.17060986 -0.02997922 ... -0.15996309 -0.07961331
  0.02101552]"
0.033098795,"[-0.15021065 -0.1706201  -0.02998031 ... -0.15997998 -0.07962253
  0.02101628]"
0.03309724,"[-0.15022045 -0.17063121 -0.02998259 ... -0.15999702 -0.07963197
  0.02101684]"
0.033095654,"[-0.15022664 -0.17063843 -0.02998479 ... -0.16001426 -0.07964157
  0.02101726]"
0.033093687,"[-0.15023398 -0.17064333 -0.0299861  ... -0.16003148 -0.07965111
  0.02101765]"
0.03309187,"[-0.15024343 -0.17064807 -0.02998723 ... -0.16004845 -0.07966046
  0.02101814]"
0.033089966,"[-0.15025756 -0.17065164 -0.02998742 ... -0.16006513 -0.07966959
  0.02101875]"
0.03308802,"[-0.1502666  -0.17065276 -0.02998896 ... -0.16008167 -0.07967871
  0.02101934]"
0.033086427,"[-0.15027851 -0.17065565 -0.02998827 ... -0.16009834 -0.07968806
  0.02101981]"
0.03308463,"[-0.15028268 -0.1706588  -0.02998794 ... -0.16011536 -0.07969764
  0.02102014]"
0.033083178,"[-0.15029104 -0.17066373 -0.02998637 ... -0.1601327  -0.07970732
  0.02102044]"
0.033081386,"[-0.15029941 -0.1706712  -0.02998542 ... -0.16015023 -0.07971689
  0.0210208 ]"
0.033079587,"[-0.15030852 -0.1706778  -0.02998368 ... -0.16016781 -0.07972626
  0.02102115]"
0.0330781,"[-0.15030667 -0.17068078 -0.02998466 ... -0.16018549 -0.07973549
  0.02102145]"
0.033076115,"[-0.1503142  -0.17068003 -0.02998649 ... -0.16020325 -0.07974461
  0.02102173]"
0.03307448,"[-0.15032443 -0.17068364 -0.02999016 ... -0.16022106 -0.07975361
  0.02102203]"
0.033072453,"[-0.15033734 -0.17068824 -0.0299939  ... -0.16023886 -0.07976254
  0.02102236]"
0.033071674,"[-0.1503398  -0.17069253 -0.03000049 ... -0.16025665 -0.07977146
  0.02102269]"
